,知识点
0,['根据二元一次方程的定义求参数']
1,['二元一次方程的识别']
2,['二元一次方程的识别']
3,['二元一次方程的识别']
4,['二元一次方程的识别']
5,"['二元一次方程组的解', '解二元一次方程组——叠加/减法']"
6,"['二元一次方程组的解', '解二元一次方程组——加减消元法']"
7,['根据解确定二元一次方程中的某参数的值']
8,['根据解确定二元一次方程中的某参数的值']
9,['根据解确定二元一次方程中的某参数的值']
10,['特殊的三元一次方程组求法——叠加法']
11,['含比例的三元一次方程组']
12,['特殊的三元一次方程组求法——叠加法']
13,['含比例的三元一次方程组']
14,['不定方程的应用']
15,['求二元一次方程的整数解']
16,['不定方程的应用']
17,['不定方程的应用']
18,['不定方程的应用']
19,['特殊的三元一次方程组求法——叠加法']
20,['不定方程的应用']
21,['方程和方程组的同解问题']
22,['根据解确定二元一次方程中的某参数的值']
23,['解三元一次方程组']
24,['含比例的三元一次方程组']
25,['方程的识别']
26,['方程的识别']
27,['方程的识别']
28,['方程的识别']
29,['方程的识别']
30,['方程的识别']
31,['方程的识别']
32,['判断某数是否为一元一次方程的解']
33,['含参一元一次方程解的情况']
34,['判断某数是否为一元一次方程的解']
35,['根据解求一元一次方程中的参数值']
36,['根据解求一元一次方程中的参数值']
37,['等式的基本性质']
38,['等式的基本性质']
39,['等式的基本性质']
40,['利用等式性质变形']
41,['等式的基本性质']
42,['利用等式性质变形']
43,['根据解求一元一次方程中的参数值']
44,['方程的识别']
45,['一元一次方程的识别']
46,['利用一元一次方程定义求参数取值']
47,['一元一次方程的识别']
48,['一元一次方程的识别']
49,['正负数的意义与表示']
50,['正负数的识别']
51,['正负数的意义与表示']
52,['有理数的减法——两个数的减法']
53,['正负数的意义与表示']
54,['负整数指数幂的计算']
55,['正负数的意义与表示']
56,['正负数与实际问题']
57,['正负数与实际问题']
58,['正负数的识别']
59,['有理数与数轴']
60,['乘方的计算']
61,['乘方的计算']
62,['正负数的意义与表示']
63,['有理数的识别分类综合']
64,['正负数的识别']
65,['数轴上点的距离']
66,['数轴上点的距离']
67,['有理数与数轴']
68,['数轴上点的距离']
69,['数轴上点的距离']
70,['数轴上点的距离']
71,['数轴上点的距离']
72,['数轴的认识与定义']
73,['数轴找规律问题']
74,['数轴上的简单平移']
75,['有理数与数轴']
76,['整数点问题']
77,['借助数轴化简绝对值']
78,['整数点问题']
79,['数的整除']
80,['数的整除']
81,['数的整除']
82,['数的整除']
83,['数的整除']
84,['数的整除']
85,['数的整除']
86,['数的整除']
87,['数的整除']
88,['数的整除']
89,['数的整除']
90,['数的整除']
91,['数的整除']
92,['数的整除']
93,['数的整除']
94,['数的整除']
95,['数的整除']
96,['数的整除']
97,['数的整除']
98,['数的整除']
99,['数的整除']
100,['数的整除']
101,['数的整除']
102,['数的整除']
103,['有效数字']
104,['有效数字']
105,['近似数']
106,['近似数']
107,['近似数']
108,['近似数']
109,['近似数']
110,"['科学记数法——化为原数', '近似数']"
111,['近似数']
112,['近似数']
113,['近似数']
114,['近似数']
115,"['科学记数法——表示较大的数', '近似数']"
116,"['科学记数法——表示较大的数', '近似数']"
117,['近似数']
118,['近似数']
119,['近似数']
120,['近似数']
121,['有效数字']
122,['近似数']
123,['实数的分类']
124,['实数的性质综合']
125,['实数的识别']
126,['无理数的识别']
127,['无理数的识别']
128,['实数的分类']
129,['实数的性质综合']
130,['实数的分类']
131,['实数的性质综合']
132,['实数与数轴']
133,['实数的性质综合']
134,['实数的性质综合']
135,['实数的性质综合']
136,['实数的性质综合']
137,['求一个数的相反数']
138,['实数与数轴']
139,['勾股定理求边长']
140,['根据数轴判断不等关系']
141,['根据数轴判断不等关系']
142,['实数比较大小——化为根号形式']
143,['实数比较大小——复杂计算法']
144,['实数比较大小——复杂计算法']
145,['无理数的识别']
146,['实数的性质综合']
147,['分辨随机、必然和不可能事件']
148,['分辨随机、必然和不可能事件']
149,['分辨随机、必然和不可能事件']
150,['分辨随机、必然和不可能事件']
151,['用概率解释一些实际现象']
152,['用概率解释一些实际现象']
153,['会用列表法或树形图求概率']
154,['会用列表法或树形图求概率']
155,['会用列表法或树形图求概率']
156,['概率公式']
157,['用频率估计概率']
158,['通过模拟实验估计概率']
159,['用频率估计概率']
160,['用概率解释一些实际现象']
161,['认识常见的立体图形']
162,['立体图形中的顶点、棱与面']
163,['认识常见的立体图形']
